X1,x1
X1turbo,x1turbo
X1turboZ,x1turboz
X1Twin,x1twin
MZ80B,mz80b
MZ80K,mz80k
MZ700,mz700
MZ800,mz800
MZ1500,mz1500
MZ2200,mz2200
MZ2500,mz2500
PC100,pc100
PC2001,pc2001
PC6001,pc6001
PC6601,pc6601
PC6601SR,pc6601sr
PC8001,pc8001
PC8001mk2,pc8001mk2
PC8201,pc8201
PC8801,pc8801
PC8801MA,pc8801ma
PC8801mk2,pc8801mk2
MSX,msx
MSX2,msx2
MSX2+,msx2p
FM7,fm7
FM8,fm8
FM77,fm77
FM77L4,fm77l4
FM77AV,fm77av
FM77AV40,fm77av40
FM77AV40EX,fm77av40ex
PASOPIA,pasopia
PASOPIA7,pasopia7
PYUTA,pyuta
RX78,rx78
SMC70,smc70
SMC777,smc777
JR100,jr100
JR800,jr800
M5,m5
M23,m23
M68,m68
SC3000,sc3000
TK85,tk85
MULTUI8,multi8
MycomZ80A,mycomz80a
FamilyBasic,familybasic
GameGear,gamegear
MasterSystem,mastersystem
PC-Engine,pcengine
PC-9801,pc9801
PC-9801E,pc9801e
PC-9801RA,pc9801ra
PC-9801U,pc9801u
PC-9801VF,pc9801vf
PC-9801VM,pc9801vm
PC-9801VX,pc9801vx
PC-98 Do,pc98do
PC-98HA,pc98ha
PC-98LT,pc98lt
PC-98RL,pc98rl
PC-98XA,pc98xa
PC-98XL,pc98xl
N5200,n5200
